Gene,Depth,Childindex,Cluster_size,n_gs_genes_in_clust,Score,gold.standard.genes.in.cluster
TAGLN,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
FLNA,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
ACTA2,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
TGFB1I1,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
ILK,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
KCNMB1,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
CNN1,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
CSRP1,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
MYLK,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
VCL,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
FBXL22,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
ZNF771,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
NPAS4,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
TUBA1A,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
C3orf70,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
DACT3,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
