,Peng2014.Upregulated,Peng2014.Downregulated,Slabicki.2010.RNAi,Adamson.2012.RNAi,RAD51.foci.impaired,RAD51.foci.retained,Matsukoa.2007.phosphoproteomics,Elia_2015_Acetylation.IR,Elia_2015_Ub.IR,Elia_2015_Ub_MG132.IR,Elia_phos.IR,Elia_Ub_nuclear.IR,Paulsen.2009.gamma.HA2X.increased,Paulsen.2009.gamma.HA2X.decreased,Lord.2008.PARP.inhibitor.sensitivity,Bartz.2006.cisplatin.EC50.mean.fold.change,NPP.clade.optimized.MRS,HPA.tissue.coexpression.MRS,MRE11A.CCI.Malovannaya.2011,BRCA2.CCI.Malovannaya.2011,RAD51C.CCI.Malovannaya.2011,BRCA1.CCI.Malovannaya.2011,LIG1.CCI.Malovannaya.2011,PCNA.CCI.Malovannaya.2011,FANCD2.CCI.Malovannaya.2011,FANCI.CCI.Malovannaya.2011,PALB2.CCI.Malovannaya.2011,RAD50.CCI.Malovannaya.2011
ACADL,0,0,0,0,5491,0,0,0,0,0,0,0,0,0.352776473,0,0,0.029069767,0.004482524,0,0,0,0,0,0,0,0,0,0
ACADM,0,0,0,0,3783,0,0,0,0,0,0,0,0,0.045157406,0,0,0.010050251,0.004482524,0,0,0,0,0,0,0,0,0,0
ACADS,0,0,0,0,1218,0,0,0,0,0,0,0,0,0.268332023,0,0,0.010050251,0.004482524,0,0,0,0,0,0,0,0,0,0
ACADSB,0,0,0,0,1314,0,0,0,0,0,0,0,0,0.376903459,0,0,0.01,0.004482524,0,0,0,0,0,0,0,0,0,0
ACADVL,0,0,0,0,0,8131,0,0,0,0,0,0,0,0.117538363,0,0,0.012658228,0.004482524,0,0,0,0,0,0,0,0,0,0
ACAN,0,0,0,0,0,3938,0,0,0,0,0,0,0,0,0,0,0.011904762,0.016451234,0,0,0,0,0,0,0,0,0,0
ACAP1,0,0,0,0,5615,0,0,0,0,0,0,0,0,0,0,0,0.086956522,0.015205725,0,0,0,0,0,0,0,0,0,0
ACAP2,0,0,0,0,0,2561,0,8.852764247,0,0,0,0,0,0,0,0,0.086956522,0.007559395,0,0,0,0,0,0,0,0,0,0
ACAP3,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0.086956522,0.004482524,0,0,0,0,0,0,0,0,0,0
ACAT1,0,0,0,0,0,8046,0,9.040340824,0,0,0,8.623738324,0,0.063252645,0,0,0.028571429,0.004482524,0,0,0,0,0,0,0,0,0,0
ACAT2,0,0,0,0,6877,0,0,0,9.154096367,0,0,0,0,0.328649488,0,0,0.028571429,0.004482524,0,0,0,0,0,0,0,0,0,0
ACBD3,0,0,0,0,5086,0,0,0,9.40341533,4.273048245,0,8.347034247,0,0.407062191,0,0,0.01010101,0.004482524,0,0,0,0,0,0,0,0,0,0
ACBD4,0,0,0,0,0,6934,0,0,0,0,0,0,0,0.382935205,0,0,0.022058824,0.004482524,0,0,0,0,0,0,0,0,0,0
ACBD5,0,0,0,0,0,5344,0,8.226644412,8.816551214,4.958747334,7.210007212,7.778659206,0,0.606109823,0,0,0.016759777,0.004482524,0,0,0,0,0,0,0,0,0,0
ACBD6,0,0,0,0,2160,0,0,0,9.316380263,5.310664864,0,0,0,0.455316162,0,0,0.010928962,0.006329114,0,0,0,0,0,0,0,0,0,0
ACBD7,0,0,0,0,0,5401,0,0,0,0,0,0,0,0,0,0,0.006702413,0.004482524,0,0,0,0,0,0,0,0,0,0
ACCS,0,0,0,0,0,2798,0,0,0,0,0,0,0,0,0,0,0.010362694,0.007594937,0,0,0,0,0,0,0,0,0,0
ACCSL,0,0,0,0,3930,0,0,0,0,0,0,0,0,0,0,0,0.00794702,0,0,0,0,0,0,0,0,0,0,0
ACD,0,0,0,0,0,2405,0,0,0,0,0,0,0,0,0,0,0.009478673,0.007032349,0,0,0,0,0,0,0,0,0,0
ACE,0,0,0,0,2167,0,0,0,0,0,0,0,1.414525228,0,0,0,0.014234875,0,0,0,0,0,0,0,0,0,0,0
ACE2,0,0,0,0,8115,0,0,0,0,0,0,0,0,0.183887574,0,0,0.014234875,0.004482524,0,0,0,0,0,0,0,0,0,0
ACER1,0,0,0,0,4099,0,0,0,0,0,0,0,0,0,0,0,0.016348774,0.004482524,0,0,0,0,0,0,0,0,0,0
ACER2,0,0,0,0,7813,0,0,0,0,0,0,0,0,0,0,0,0.016348774,0.004482524,0,0,0,0,0,0,0,0,0,0
